ten_loai_sach,dinh_huong,lop,chu_de,loai,bai_hoc,muc_tieu,nang_luc_chinh,nang_luc_ho_tro,chi_muc_1,chi_muc_2,chi_muc_3,chi_muc_4,chi_muc_5,chi_muc_6,chi_muc_7
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 6. Kiểm thử và sửa lỗi chương trình .,"Biết được việc kiểm thử giúp lập trình viên phát hiện lỗi, làm tăng độ tin cậy của chương trình nhưng chưa chứng minh được chương trình đã hết lỗi.
Biết được một số kinh nghiệm gỡ lỗi và các thói quen lập trình tốt để dễ gỡ lỗi.",NLc,"NLa, NLe, NLb, NLd",Nguyên nhân gây lỗi và truy vết lỗi.,Duy vết lỗi và thông báo lỗi.,Một số kinh nghiệm thực hành gỡ lỗi chương trình.,,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 7. Lập trình giải bài toán tìm kiếm,"Phát biểu được bài toán tìm kiếm.
Viết được chương trình cho một số thuật toán tìm kiếm.
Vận dụng được quy tắc thực hành xác định được độ phức tạp của một vài thuật toán tìm kiếm đơn giản.",NLc,"NLa, NLe, NLb, NLd",Bài toán tìm kiếm.,Thuật toán tìm kiếm tuần tự.,Thuật toán tìm kiếm nhị phân.,Thực hành lập trình giải bài toán tìm kiếm.,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 8. Lập trình một số thuật toán sắp xếp,"Phát biểu được bài toán sắp xếp.
Viết được chương trình cho một vài thuật toán sắp xếp.",NLc,"NLa, NLe, NLb, NLd",Bài toán sắp xếp.,Thuật toán sắp xếp nổi bọt (Bubble Sort).,Thuật toán sắp xếp chèn tuyến tính (Insertion Sort).,Thực hành.,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 9. Lập trình thuật toán sắp xếp nhanh,"Hiểu được ý tưởng của thuật toán sắp xếp nhanh.
Viết được chương trình thực hiện sắp xếp nhanh một dãy số dựa trên các mã lệnh thuật toán phân đoạn cho trước.",NLc,"NLa, NLe, NLb, NLd",Lược đồ phân đoạn trong sắp xếp nhanh.,Thuật toán sắp xếp nhanh áp dụng phân đoạn Lomuto.,Thuật toán sắp xếp nhanh áp dụng phân đoạn Hoare.,Thực hành.,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 10. Thiết kế chương trình từ trên xuống và phương pháp mô đun hoá,"Giải thích được phương pháp thiết kế chương trình thành các mô đun cho một bài toán cụ thể.
Nhận biết được lợi ích của phương pháp nêu trên: hỗ trợ làm việc nhóm, dễ nâng cấp thi phát triển chương trình và tái sử dụng các mô đun.",NLc,"NLa, NLe, NLb, NLd",Thiết kế chương trình từ trên xuống theo phương pháp mô đun hoá.,Minh hoạ về lập trình theo phương pháp mô đun hoá.,Tổ chức tách biệt các phần của một chương trình.,,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 11. Thực hành thiết kế và lập trình theo mô đun,"Vận dụng được phương pháp thiết kế chương trình thành các mô đun (hàm) cho một bài toán cụ thể.
Viết được chương trình thực hiện một số hàm theo thiết kế.",NLc,"NLa, NLe, NLb, NLd","Nhiệm vụ, yêu cầu kết quả và tổ chức thực hiện.",Các bài thực hành,,,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 12. Thực hành thiết kế và lập trình theo mô đun (tiếp theo),"Viết được chương trình thực hiện một số hàm theo thiết kế.
Sử dụng các hàm đã viết để lập trình giải bài toán thực tế.",NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Viết hàm phân tích điểm.,Nhiệm vụ 2: Thực hiện phân tích điểm mọi học sinh.,Nhiệm vụ 3: Thực hiện phân tích điểm mọi môn học.,Nhiệm vụ 4: Phối hợp các hàm đã viết thành chương trình chính.,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 13. Thực hành thiết kế và lập trình theo mô đun (tiếp theo),Sử dụng được một số hàm thư viện có sẵn của Python để giải bài toán thực tế.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Viết phiên bản thứ hai cho hàm thực hiện phân tích dãy điểm,Nhiệm vụ 2: Viết phiên bản thứ hai của hàm ptMonHoc.,Nhiệm vụ 2: Viết phiên bản thứ hai của hàm ptMonHoc.,,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 14. Thực hành về thư viện các hàm tự định nghĩa,"Tạo được một thư viện nhỏ.
Viết được chương trình sử dụng thư viện vừa tạo ra.",NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Tổ chức thư viện các hàm người lập trình tự viết.,Nhiệm vụ 2: Viết chương trình sử dụng thư viện tự tạo.,,,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 15. Cấu trúc dữ liệu danh sách liên kết và ứng dụng,Trình bày được cấu trúc dữ liệu danh sách liên kết và một số ứng dụng của nó.,NLc,"NLa, NLe, NLb, NLd",Cấu trúc danh sách liên kết,Một số kiểu danh sách đặc biệt và ứng dụng của danh sách liên kết,,,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 1. Một số thao tác chỉnh sửa ảnh và hỗ trợ chỉnh sửa ảnh,"Thực hiện được các thao tác: thu nhỏ, phóng to và di chuyển ảnh. 
Thực hiện được một số thao tác chỉnh sửa ảnh: cắt ảnh, hiệu chỉnh màu sắc cho ảnh và biến đổi ảnh đơn giản (thay đổi kích thước, xoay, lật, làm nghiêng).","NLa, NLe, NLc","NLb, NLd","Thu nhỏ, phóng to và di chuyển ảnh",Cắt ảnh,Biến đổi ảnh,Thực hành chỉnh sửa ảnh,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 2. Tẩy xoá ảnh,"Thực hiện được cách tẩy xoá ảnh bằng các công cụ Clone và Healing. 
Thực hiện được cách sao chép ảnh theo phép phối cảnh bằng công cụ Perspective Clone.","NLa, NLe, NLc","NLb, NLd",Tẩy xoá ảnh bằng công cụ Clone,Tẩy xoá ảnh bằng công cụ Healing,Sao chép ảnh theo phép biến đổi phối cảnh bằng công cụ Perspective Clone,Thực hành tẩy xoá ảnh,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 3. Tạo ảnh động,"Tạo được ảnh động với hiệu ứng tự thiết kế. 
Tạo được ảnh động từ các hiệu ứng có sẵn trong phần mềm.","NLa, NLe, NLc","NLb, NLd","Ảnh động, kịch bản và hiệu ứng của ảnh động",Tạo ảnh động với hiệu ứng tự thiết kế trong GIMP,Tạo ảnh động từ hiệu ứng có sẵn trong GIMP,Thực hành tạo hiệu ứng cho ảnh động,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 4. Giới thiệu phần mềm làm video,"Bước đầu biết sử dụng một số chức năng chính của phần mềm làm video. 
Tạo được một số đoạn video từ ảnh và video có sẵn.","NLa, NLe, NLc","NLb, NLd",Video phục vụ học tập và giải trí,Khám phá phần mềm Animiz Animation Maker,Thực hành tạo video,,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 5. Chỉnh sửa video,"Sử dụng được một số công cụ cơ bản chỉnh sửa video: chỉnh sửa hình ảnh, âm thanh, tạo phụ đề, tạo các hiệu ứng chuyển cảnh, căn chỉnh thời gian. 
Biên tập được đoạn video phục vụ học tập, giải trí.","NLa, NLe, NLc","NLb, NLd",Công việc chỉnh sửa video,Chỉnh sửa hình ảnh,Chỉnh sửa âm thanh,Thêm hiệu ứng chuyển cảnh,Thêm phụ đề,Thực hành chỉnh sửa video,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 6. Làm phim hoạt hình,"Bước đầu biết cách làm phim hoạt hình đơn giản bằng phần mềm làm video. 
Tạo được phim hoạt hình từ ảnh, có hội thoại giữa các nhân vật và có phụ đề.","NLa, NLe, NLc","NLb, NLd",Giới thiệu phim hoạt hình,Thực hành tạo phim hoạt hình,,,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Thực hành,Bài 7. Thực hành tổng hợp,"Chỉnh sửa được ảnh và tạo được ảnh động bằng GIMP. 
Tạo được phim hoạt hình ngắn bằng phần mềm Animiz Animation Maker.","NLa, NLe, NLc","NLb, NLd",Nhiệm vụ 1. Thực hành chỉnh sửa ảnh và tạo ảnh động,Nhiệm vụ 2. Thực hành tạo phim hoạt hình,,,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 1. Làm quen với Microsoft Access,"Biết được một số đặc điểm của phần mềm hệ quản trị cơ sở dữ liệu quan hệ Microsoft Access và một số thành phần chính trong cửa sổ làm việc của nó. 
Biết được một số kiểu dữ liệu trường của các bản ghi trong Microsoft Access và cách thiết lập kiểu dữ liệu trường. 
Tạo lập được một cơ sở dữ liệu đơn giản từ khuôn mẫu Microsoft Access cho trước và biết cách nhập dữ liệu vào một bảng.",NLc,"NLa, NLe, NLb, NLd",Giới thiệu Microsoft Access,Cơ sở dữ liệu trong Access,Tạo mới cơ sở dữ liệu,Bảng và các kiểu dữ liệu cột,Hướng dẫn thao tác khám phá trong khung nhìn thiết kế bảng,Thực hành làm quen với Microsoft Access,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 2. Tạo bảng trong cơ sở dữ liệu,"Biết được cách tạo bảng theo thiết kế. 
Biết được sơ bộ cách thiết lập một số thuộc tính kiểu dữ liệu thường dùng. 
Tạo được một số bảng CSDL.",NLc,"NLa, NLe, NLb, NLd",Các bảng trong cơ sở dữ liệu thư viện trường,"Chuyển quan hệ ""nhiều – nhiều"" thành quan hệ ""một – nhiều""",Thực hành tạo bảng trong CSDL,,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 3. Liên kết các bảng trong cơ sở dữ liệu,"Biết được cách thiết lập đúng đắn mối quan hệ giữa các bảng trong một CSDL để kết nối dữ liệu giữa hai bản ghi từ hai bảng. 
Tạo được CSDL có nhiều bảng. 
Thiết lập được quan hệ giữa các bảng.",NLc,"NLa, NLe, NLb, NLd",Thiết lập mối quan hệ giữa hai bảng,Cột dữ liệu từ tra cứu,Thực hành tạo liên kết giữa các bảng trong CSDL,,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 4. Tạo và sử dụng biểu mẫu,"Phân biệt được ""có kết buộc với bảng CSDL"" và ""không kết buộc"". 
Tạo được một số loại biểu mẫu thường dùng nhất. 
Sử dụng được biểu mẫu để nhập dữ liệu.",NLc,"NLa, NLe, NLb, NLd",Tạo biểu mẫu trong Access,Biểu mẫu phân cấp và biểu mẫu đồng bộ hoá,Sử dụng biểu mẫu để nhập hoặc xem dữ liệu,Thực hành tạo và sử dụng biểu mẫu,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 5. Thiết kế truy vấn,"Tạo và sử dụng được các truy vấn để tìm kiếm và kết xuất thông tin từ CSDL. 
Góp phần giải thích tính ưu việt của việc quản lí dữ liệu một cách khoa học nhờ ứng dụng CSDL.",NLc,"NLa, NLe, NLb, NLd",Thiết kế truy vấn đơn giản,Sắp xếp kết quả truy vấn,Chọn bản ghi cho truy vấn SELECT,Truy vấn có tham số,Truy vấn hành động,Thực hành thiết kế truy vấn,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 6. Tạo báo cáo đơn giản,"Thực hiện được việc kết xuất thông tin từ CSDL. 
Tìm hiểu được thêm một vài chức năng của hệ quản trị CSDL.",NLc,"NLa, NLe, NLb, NLd",Xây dựng báo cáo đơn giản,Hướng dẫn sử dụng Report Wizard,"Gộp nhóm, sắp xếp và các tổng con",Thực hành tạo báo cáo đơn giản,,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 7. Chỉnh sửa các thành phần giao diện,"Chỉnh sửa được bài trí các thành phần trong biểu mẫu, báo cáo. 
Thiết lập được chủ đề màu sắc, phong cách văn bản của giao diện ứng dụng.",NLc,"NLa, NLe, NLb, NLd",Các thành phần và các phần tử trong báo cáo,Các thành phần và các phần tử trong biểu mẫu,Chỉnh sửa bài trí,"Chủ đề, màu sắc và kiểu dáng phông chữ",Thực hành chỉnh sửa giao diện ứng dụng,,
Cánh diều,Tin học ứng dụng,11,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 8. Hoàn tất ứng dụng,"Tạo được biểu mẫu điều hướng để làm giao diện khi mở ứng dụng. 
Hoàn tất một ứng dụng đơn giản, có thể sử dụng được.",NLc,"NLa, NLe, NLb, NLd",Biểu mẫu điều hướng,Thiết kế giao diện của ứng dụng quản lí thư viện trường,Thực hành tổng hợp,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 1. Làm quen với Trí tuệ nhân tạo,"Giải thích được sơ lược về khái niệm Trí tuệ nhân tạo. 
Nêu được ví dụ minh hoạ cho một số ứng dụng điển hình của Trí tuệ nhân tạo.","NLa, NLe","NLb, NLc, NLd",Khái niệm về AI,Một số ứng dụng của AI,,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 2. Trí tuệ nhân tạo trong khoa học và đời sống,"Chỉ ra được một số lĩnh vực của khoa học công nghệ và đời sống đã và đang phát triển mạnh mẽ dựa trên những thành tựu to lớn của Trí tuệ nhân tạo. 
Nêu được ví dụ để thấy một hệ thống Trí tuệ nhân tạo có tri thức, có khả năng suy luận và khả năng học,... 
Nêu được cảnh báo về sự phát triển của Trí tuệ nhân tạo trong tương lai.","NLa, NLe","NLb, NLc, NLd",Trí tuệ nhân tạo và sự phát triển của một số lĩnh vực,Trí tuệ nhân tạo và một vài cảnh báo,,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 2. MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 3. Một số thiết bị mạng thông dụng,"Nêu được chức năng chính của một số thiết bị mạng thông dụng. 
Biết cách kết nối máy tính với thiết bị mạng.","NLa, NLb, NLe","NLc, NLd",Thiết bị mạng thông dụng,Thực hành kết nối máy tính với các thiết bị mạng,,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 2. MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 4. Giao thức mạng,Hiểu và mô tả sơ lược được vai trò và chức năng của giao thức mạng nói chung và giao thức TCP/IP nói riêng.,"NLa, NLb, NLe","NLc, NLd",Giao thức mạng,Giao thức TCP/IP,,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 2. MẠNG MÁY TÍNH VÀ INTERNET,Thực hành,Bài 5. Thực hành chia sẻ tài nguyên trên mạng,Biết cách chia sẻ tài nguyên tệp và máy in trong mạng cục bộ.,"NLa, NLb, NLe","NLc, NLd",Chia sẻ tệp và thư mục trên mạng cục bộ,Chia sẻ máy in,,,,,
Kết nối tri thức với cuộc sống,,12,"CHỦ ĐỀ 3. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ",Lý thuyết,Bài 6. Giao tiếp và ứng xử trong không gian mạng,"Phân tích được ưu và nhược điểm về giao tiếp trong không gian mạng qua các ví dụ cụ thể. 
Phân tích được tính nhân văn trong ứng xử ở một số tình huống tham gia không gian mạng.",NLb,"NLa, NLc, NLd, NLe",Giao tiếp trong không gian mạng,Thể hiện tính nhân văn trong không gian mạng,,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 7. HTML và cấu trúc trang web,Hiểu và giải thích được cấu trúc của một trang web dưới dạng HTML.,NLc,"NLa, NLe, NLb, NLd",Trang web và HTML,Cấu trúc cơ bản của một tệp HTML,Phần mềm soạn thảo HTML,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 8. Định dạng văn bản,"Sử dụng được thẻ HTML để định dạng văn bản, phông chữ.",NLc,"NLa, NLe, NLb, NLd",Thuộc tính thẻ,Các thẻ định dạng trình bày văn bản,Các thẻ định dạng phông chữ,Thực hành định dạng văn bản và phông chữ,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,"Bài 9. Tạo danh sách, bảng","Sử dụng thẻ HTML tạo được danh sách, bảng.",NLc,"NLa, NLe, NLb, NLd",Tạo danh sách,Thiết lập bảng,Thực hành tạo danh sách và bảng,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 10. Tạo liên kết,Sử dụng thẻ HTML tạo được các loại liên kết.,NLc,"NLa, NLe, NLb, NLd",Siêu văn bản và đường dẫn,Các cách liên kết tới một trang web,Thực hành tạo liên kết,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 11. Chèn tệp tin đa phương tiện và khung nội tuyến vào trang web,Sử dụng thẻ HTML chèn được các tệp tin đa phương tiện vào trang web và điều chỉnh kích thước cho phù hợp.,NLc,"NLa, NLe, NLb, NLd",Chèn tệp ảnh vào trang web,Chèn âm thanh và video vào trang web,Tạo khung nội tuyến trong trang web,Thực hành chèn tệp đa phương tiện và khung nội tuyến,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 12. Tạo biểu mẫu,Sử dụng thẻ HTML tạo được biểu mẫu.,NLc,"NLa, NLe, NLb, NLd",Biểu mẫu web,Thực hành tạo biểu mẫu,,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,"Bài 13. Khái niệm, vai trò của CSS",Hiểu được vai trò và ý nghĩa của mẫu định dạng CSS (Cascading Style Sheets) trong việc trình bày trang web.,NLc,"NLa, NLe, NLb, NLd",Khái niệm mẫu định dạng CSS,Cấu trúc CSS,"Vai trò, ý nghĩa của CSS",,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 14. Định dạng văn bản bằng CSS,"Sử dụng được CSS để định dạng văn bản, phông chữ.",NLc,"NLa, NLe, NLb, NLd",Định dạng văn bản bằng CSS,Tính kế thừa và cách lựa chọn theo thứ tự của CSS,Thực hành,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 15. Tạo màu cho chữ và nền,Sử dụng được CSS màu để thiết lập màu cho chữ và nền.,NLc,"NLa, NLe, NLb, NLd",Hệ thống màu của CSS,Thiết lập bộ chọn là tổ hợp các phần tử có quan hệ,Thực hành,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 16. Định dạng khung,"Sử dụng được CSS để định dạng khung văn bản, kích thước khung, kiểu đường viền,... 
Biết sử dụng CSS cho các bộ chọn khác nhau (id, class,...).",NLc,"NLa, NLe, NLb, NLd",Phân loại phần tử khối và nội tuyến,Thiết lập định dạng khung bằng CSS,Một số bộ chọn đặc biệt của CSS,Thực hành,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 17. Các mức ưu tiên của bộ chọn,"Biết cách dùng CSS cho các kiểu bộ chọn khác nhau (id, class, pseudo-class, pseudo-element). 
Biết cách sử dụng CSS thực hiện các mẫu định dạng theo thứ tự ưu tiên của mình.",NLc,"NLa, NLe, NLb, NLd",Kiểu bộ chọn dạng pseudo-class và pseudo-element,Mức độ ưu tiên khi áp dụng CSS,Thực hành,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Thực hành,Bài 18. Thực hành tổng hợp thiết kế trang web,Tạo được trang web bằng html và định dạng bằng CSS.,NLc,"NLa, NLe, NLb, NLd",Dự án: Xây dựng website giới thiệu các câu lạc bộ ngoại khoá của trường,Thực hành,,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 5. HƯỚNG NGHIỆP VỚI TIN HỌC,Lý thuyết,Bài 19. Dịch vụ sửa chữa và bảo trì máy tính,"Trình bày được thông tin hướng nghiệp của nghề sửa chữa và bảo trì máy tính.
Tự tìm kiếm và khai thác được thông tin hướng nghiệp về một vài ngành nghề khác trong nhóm nghề dịch vụ thuộc ngành Công nghệ thông tin.","NLd, NLe, NLb","NLa, NLc",Dịch vụ sửa chữa và bảo trì máy tính,"Nhu cầu nhân lực cho dịch vụ sửa chữa, bảo trì máy tính và ngành học liên quan",,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 5. HƯỚNG NGHIỆP VỚI TIN HỌC,Lý thuyết,Bài 20. Nhóm nghề quản trị thuộc ngành Công nghệ thông tin,Trình bày được thông tin hướng nghiệp của nhóm nghề quản trị thuộc ngành Công nghệ thông tin.,"NLd, NLe, NLb","NLa, NLc",Nhóm nghề quản trị thuộc ngành Công nghệ thông tin,Nhu cầu nhân lực trong nhóm nghề quản trị trong ngành Công nghệ thông tin và ngành học liên quan,,,,,
Kết nối tri thức với cuộc sống,,12,CHỦ ĐỀ 5. HƯỚNG NGHIỆP VỚI TIN HỌC,Lý thuyết,Bài 21. Hội thảo hướng nghiệp,"Nêu được tên một số ngành nghề và lĩnh vực có sử dụng nhân lực công nghệ thông tin, đồng thời giải thích được vai trò và công việc của chuyên viên công nghệ thông tin trong một số ngành nghề.
Tìm hiểu được thông tin ngành đào tạo của một số cơ sở đào tạo Công nghệ thông tin.
Giao lưu được với bạn bè qua các kênh truyền thông số để tham khảo và trao đổi ý kiến về những thông tin trên.","NLd, NLe, NLb","NLa, NLc",Nhiệm vụ: Tổ chức hội thảo hướng nghiệp,,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,12,CHỦ ĐỀ 6 (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 22. Tìm hiểu thiết bị mạng,"Nhận biết được các thiết bị mạng.
Phân biệt được chức năng, vai trò của server trong mạng, chức năng của các thiết bị mạng phục vụ cho thiết kế mạng.","NLa, NLb, NLe","NLc, NLd",Server,Nhận diện và tìm hiểu tính năng kĩ thuật của các thiết bị kết nối,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,12,CHỦ ĐỀ 6 (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 23. Đường truyền mạng và ứng dụng,Biết được một số đường truyền mạng thông dụng và ứng dụng.,"NLa, NLb, NLe","NLc, NLd",Đường truyền có dây,Đường truyền không dây,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,12,CHỦ ĐỀ 6 (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 24. Sơ bộ về thiết kế mạng,Nắm được sơ bộ công việc thiết kế mạng cho một tổ chức nhỏ.,"NLa, NLb, NLe","NLc, NLd",(Các bước thiết kế): Khảo sát hiện trạng và phân tích nhu cầu; Thiết kế logic; Thiết kế vật lí; Chọn hệ điều hành mạng,,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,12,CHỦ ĐỀ 6 (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 25. Làm quen với Học máy,"Giải thích được sơ lược về khái niệm Học máy.
Nêu được vai trò của Học máy trong những công việc như lọc thư rác, chẩn đoán bệnh, phân tích thị trường, nhận dạng tiếng nói và chữ viết, dịch tự động,...",NLc,"NLa, NLe, NLb, NLd",Tìm hiểu sơ lược về Học máy,Phân loại và vai trò của Học máy trong thực tế,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,12,CHỦ ĐỀ 6 (CS). MẠNG MÁY TÍNH VÀ INTERNET,Lý thuyết,Bài 26. Làm quen với Khoa học dữ liệu,"Nêu được sơ lược về khái niệm, mục tiêu của Khoa học dữ liệu.
Nêu được một số thành tựu của Khoa học dữ liệu và ví dụ minh hoạ.",NLc,"NLa, NLe, NLb, NLd",Khái niệm và mục tiêu của Khoa học dữ liệu,Một số thành tựu của Khoa học dữ liệu,,,,,
